Subjective measures,Addiction,Duration,Value
Level of interest,Addicted,Short,1.6023849372821761
Level of interest,Addicted,Short,5.235531459088824
Level of interest,Addicted,Short,5.595962505569077
Level of interest,Addicted,Short,3.6915565952766447
Level of interest,Addicted,Short,3.52826850458802
Level of interest,Addicted,Short,4.3626060283177415
Level of interest,Addicted,Short,5.0688635450312844
Level of interest,Addicted,Short,3.7064035420243764
Level of interest,Addicted,Short,4.913799574999773
Level of interest,Addicted,Short,6.923259614578601
Level of interest,Addicted,Short,6.982963431152585
Level of interest,Addicted,Short,4.025562337000623
Level of interest,Addicted,Short,6.240327584339266
Level of interest,Addicted,Short,3.5257665184215163
Level of interest,Addicted,Short,5.3280313206894725
Level of interest,Addicted,Short,5.540279741229902
Level of interest,Addicted,Short,5.4307189575160395
Level of interest,Addicted,Short,2.647827414892719
Level of interest,Addicted,Short,5.40486367972386
Level of interest,Addicted,Short,6.52437247147024
Level of interest,Addicted,Short,3.0496972138798326
Level of interest,Addicted,Short,7.408532089724078
Level of interest,Addicted,Short,4.7105170482876515
Level of interest,Addicted,Short,3.6527746632196916
Level of interest,Addicted,Short,5.266853358468492
Level of interest,Addicted,Short,5.7444624095417565
Level of interest,Addicted,Short,6.229113939315223
Level of interest,Addicted,Short,4.859440856031136
Level of interest,Addicted,Short,6.949452664239455
Level of interest,Addicted,Short,5.425760588384271
Level of interest,Addicted,Short,4.546516986807079
Level of interest,Addicted,Short,3.61761855967322
Level of interest,Addicted,Short,4.670711496174067
Level of interest,Addicted,Short,5.632924772887581
Level of interest,Addicted,Short,3.744270906367867
Level of interest,Addicted,Short,4.795950924573841
Level of interest,Addicted,Short,5.522594577343631
Level of interest,Addicted,Short,2.395468778964152
Level of interest,Addicted,Short,2.9289306000255007
Level of interest,Addicted,Short,2.4918202371549283
Level of interest,Addicted,Short,6.494141664160947
Level of interest,Addicted,Short,6.765731769736359
Level of interest,Addicted,Short,2.327314279558671
Level of interest,Addicted,Short,6.626952060796796
Level of interest,Addicted,Short,2.340776067985252
Level of interest,Addicted,Short,4.0897029041691875
Level of interest,Addicted,Short,5.428827256262455
Level of interest,Addicted,Short,4.117521852018911
Level of interest,Addicted,Short,5.560714017171619
Level of interest,Addicted,Short,6.9330067712779595
Level of interest,Addicted,Short,4.186705491295056
Level of interest,Addicted,Short,5.248480259155615
Level of interest,Addicted,Short,4.858345603921196
Level of interest,Addicted,Short,1.579438119571233
Level of interest,Addicted,Short,3.7937478369284614
Level of interest,Addicted,Short,3.671771201061696
Level of interest,Addicted,Short,3.4290886549629684
Level of interest,Addicted,Short,4.345046270027855
Level of interest,Addicted,Short,2.345587485898407
Level of interest,Addicted,Short,4.356108694441159
Level of interest,Addicted,Short,4.395978366898451
Level of interest,Addicted,Short,5.200579803746335
Level of interest,Addicted,Short,4.758841947137216
Level of interest,Addicted,Short,6.591129670156455
Level of interest,Addicted,Short,5.015874041534452
Level of interest,Addicted,Short,2.8744704420635703
Level of interest,Addicted,Short,4.104493767728361
Level of interest,Addicted,Short,4.895441288060838
Level of interest,Addicted,Short,7.076977331872609
Level of interest,Addicted,Short,5.10592802572849
Level of interest,Addicted,Short,6.209140451586528
Level of interest,Addicted,Short,4.48334386786369
Level of interest,Addicted,Short,5.692302566726337
Level of interest,Addicted,Short,0.831054646335629
Level of interest,Addicted,Short,7.166935457586794
Level of interest,Addicted,Short,4.415601443819926
Level of interest,Addicted,Short,5.522624780390519
Level of interest,Addicted,Short,5.9597163354289
Level of interest,Addicted,Short,5.21094901574859
Level of interest,Addicted,Short,4.372551142516276
Level of interest,Addicted,Short,5.636651926675381
Level of interest,Addicted,Short,6.061541866589973
Level of interest,Addicted,Short,4.579379726537228
Level of interest,Addicted,Short,3.084233547803639
Level of interest,Addicted,Short,4.393437135041693
Level of interest,Addicted,Short,1.8758401461844598
Level of interest,Addicted,Short,5.295455601327882
Level of interest,Addicted,Short,5.9939745618792415
Level of interest,Addicted,Short,6.568040520235565
Level of interest,Addicted,Short,5.544497629070557
Level of interest,Addicted,Short,6.485273138427665
Level of interest,Addicted,Short,7.396526337886766
Level of interest,Addicted,Short,4.396788845359847
Level of interest,Addicted,Short,6.400316104264317
Level of interest,Addicted,Short,5.429902972113134
Level of interest,Addicted,Short,3.8147492292029805
Level of interest,Addicted,Short,4.155125412068764
Level of interest,Addicted,Short,5.498562308866503
Level of interest,Addicted,Short,4.3129572892895025
Level of interest,Addicted,Short,3.157657534376167
Level of interest,Addicted,Medium,3.660618743692981
Level of interest,Addicted,Medium,6.374550880654887
Level of interest,Addicted,Medium,3.474518912985196
Level of interest,Addicted,Medium,6.001052750153054
Level of interest,Addicted,Medium,3.6251680720752923
Level of interest,Addicted,Medium,5.7181058552273765
Level of interest,Addicted,Medium,4.2676863403471055
Level of interest,Addicted,Medium,7.536088814273597
Level of interest,Addicted,Medium,6.1463061921877875
Level of interest,Addicted,Medium,5.7990160265777355
Level of interest,Addicted,Medium,5.40024391585418
Level of interest,Addicted,Medium,5.519536485443613
Level of interest,Addicted,Medium,5.151134120210383
Level of interest,Addicted,Medium,4.986643672138558
Level of interest,Addicted,Medium,6.144721618102542
Level of interest,Addicted,Medium,4.4846671984262985
Level of interest,Addicted,Medium,3.9792955947825304
Level of interest,Addicted,Medium,6.741178454336613
Level of interest,Addicted,Medium,3.710221381672655
Level of interest,Addicted,Medium,1.3335072616620947
Level of interest,Addicted,Medium,5.276470160826697
Level of interest,Addicted,Medium,3.997945008143252
Level of interest,Addicted,Medium,5.382757346676708
Level of interest,Addicted,Medium,6.533919988643071
Level of interest,Addicted,Medium,2.8316184116032703
Level of interest,Addicted,Medium,4.074314221148656
Level of interest,Addicted,Medium,4.41235313086495
Level of interest,Addicted,Medium,5.1188283362989635
Level of interest,Addicted,Medium,6.1144214642730095
Level of interest,Addicted,Medium,5.566210368593586
Level of interest,Addicted,Medium,4.473658780399739
Level of interest,Addicted,Medium,4.831526242680835
